,x,y,Velocity,Manually results,Classification results
0,-0.013937,0.146007,0.000721,1.0,2.0
1,-0.001133,0.147099,0.001168,2.0,2.0
2,0.03486,0.159713,0.003467,2.0,2.0
3,0.1269,0.202839,0.00924,2.0,2.0
4,0.231116,0.251853,0.01047,2.0,2.0
5,0.3548,0.313217,0.012552,2.0,2.0
6,0.475168,0.390273,0.012993,2.0,2.0
7,0.553431,0.448034,0.008843,2.0,2.0
8,0.599594,0.485556,0.005408,2.0,2.0
9,0.625144,0.502142,0.002769,2.0,2.0
10,0.640951,0.515277,0.001868,2.0,2.0
11,0.649847,0.523314,0.00109,2.0,2.0
12,0.65483,0.528348,0.000644,1.0,1.0
13,0.655711,0.524586,0.000351,1.0,1.0
14,0.656968,0.521068,0.00034,1.0,1.0
15,0.657985,0.518154,0.000281,0.0,1.0
16,0.6588,0.516622,0.000158,0.0,0.0
17,0.658441,0.518304,0.000156,0.0,0.0
18,0.659527,0.518662,0.000104,0.0,0.0
19,0.661976,0.520338,0.00027,0.0,1.0
20,0.665319,0.516447,0.000466,1.0,1.0
21,0.666525,0.513179,0.000317,1.0,1.0
22,0.666638,0.50849,0.000426,1.0,1.0
23,0.665405,0.505625,0.000284,0.0,1.0
24,0.664978,0.504871,7.9e-05,0.0,0.0
25,0.664893,0.506001,0.000103,0.0,0.0
26,0.665845,0.510392,0.000408,1.0,1.0
27,0.654587,0.511199,0.001026,2.0,2.0
28,0.637285,0.511119,0.001573,2.0,2.0
29,0.60492,0.507687,0.002959,2.0,2.0
30,0.542559,0.498603,0.005729,2.0,2.0
31,0.462829,0.486982,0.007325,2.0,2.0
32,0.38823,0.479035,0.00682,2.0,2.0
33,0.329547,0.472527,0.005368,2.0,2.0
34,0.287762,0.468742,0.003814,2.0,2.0
35,0.258587,0.464038,0.002686,2.0,2.0
36,0.239512,0.460809,0.001759,2.0,2.0
37,0.226637,0.457976,0.001198,2.0,2.0
38,0.218049,0.45515,0.000822,1.0,2.0
39,0.213499,0.452843,0.000464,1.0,1.0
40,0.209104,0.451219,0.000426,1.0,1.0
41,0.195857,0.446442,0.00128,2.0,2.0
42,0.175512,0.4353,0.002109,2.0,2.0
43,0.157884,0.423161,0.001946,2.0,2.0
44,0.142768,0.413104,0.001651,2.0,2.0
45,0.131222,0.408159,0.001142,2.0,2.0
46,0.122536,0.40307,0.000915,1.0,2.0
47,0.1158,0.39927,0.000703,1.0,1.0
48,0.108691,0.397116,0.000675,1.0,1.0
49,0.104028,0.398329,0.000438,1.0,1.0
50,0.09922,0.398652,0.000438,1.0,1.0
51,0.095419,0.395732,0.000436,1.0,1.0
52,0.092661,0.394201,0.000287,1.0,1.0
53,0.091848,0.392636,0.00016,0.0,0.0
54,0.09284,0.390533,0.000211,0.0,0.0
55,0.093802,0.389715,0.000115,0.0,0.0
56,0.094725,0.394099,0.000407,1.0,1.0
57,0.095591,0.399341,0.000483,1.0,1.0
58,0.09571,0.403208,0.000352,1.0,1.0
59,0.095078,0.398499,0.000432,1.0,1.0
60,0.092459,0.39562,0.000354,1.0,1.0
61,0.090497,0.393151,0.000287,0.0,1.0
62,0.089895,0.392313,9.4e-05,0.0,0.0
63,0.090782,0.390267,0.000203,0.0,0.0
64,0.091291,0.388482,0.000169,0.0,0.0
65,0.091304,0.385933,0.000232,0.0,0.0
66,0.090328,0.38595,8.9e-05,0.0,0.0
67,0.089109,0.386042,0.000111,0.0,0.0
68,0.089207,0.385938,1.3e-05,0.0,0.0
69,0.089087,0.386632,6.4e-05,0.0,0.0
70,0.089015,0.38702,3.6e-05,0.0,0.0
71,0.089024,0.384735,0.000208,0.0,0.0
72,0.089559,0.381953,0.000258,0.0,0.0
73,0.090125,0.3785,0.000318,0.0,0.0
74,0.089967,0.3759,0.000237,0.0,0.0
75,0.089182,0.372452,0.000322,0.0,0.0
76,0.088436,0.370976,0.00015,0.0,0.0
77,0.087569,0.371282,8.4e-05,0.0,0.0
78,0.087338,0.372341,9.9e-05,0.0,0.0
79,0.087193,0.373075,6.8e-05,0.0,0.0
80,0.087967,0.374871,0.000178,0.0,0.0
81,0.088533,0.375364,6.8e-05,0.0,0.0
82,0.089309,0.37567,7.6e-05,0.0,0.0
83,0.090022,0.375751,6.5e-05,0.0,0.0
84,0.090647,0.37698,0.000125,0.0,0.0
85,0.091011,0.378015,0.0001,0.0,0.0
86,0.090622,0.378636,6.7e-05,0.0,0.0
87,0.090342,0.378797,2.9e-05,0.0,0.0
88,0.089968,0.379961,0.000111,0.0,0.0
89,0.089985,0.379956,2e-06,0.0,0.0
90,0.089909,0.380471,4.7e-05,0.0,0.0
91,0.091036,0.381801,0.000158,0.0,0.0
92,0.092015,0.383798,0.000202,0.0,0.0
93,0.093344,0.383459,0.000125,0.0,0.0
94,0.094082,0.382589,0.000104,0.0,0.0
95,0.095015,0.3815,0.00013,0.0,0.0
96,0.095394,0.381528,3.5e-05,0.0,0.0
97,0.095197,0.381685,2.3e-05,0.0,0.0
98,0.09495,0.383102,0.000131,0.0,0.0
99,0.094561,0.383784,7.1e-05,0.0,0.0
100,0.094429,0.383439,3.4e-05,0.0,0.0
101,0.094236,0.382457,9.1e-05,0.0,0.0
102,0.094015,0.382216,3e-05,0.0,0.0
103,0.093625,0.383022,8.1e-05,0.0,0.0
104,0.093118,0.383756,8.1e-05,0.0,0.0
105,0.093441,0.382934,8e-05,0.0,0.0
106,0.093841,0.382472,5.6e-05,0.0,0.0
107,0.094415,0.381867,7.6e-05,0.0,0.0
108,0.094565,0.382548,6.3e-05,0.0,0.0
109,0.098165,0.381781,0.000335,0.0,1.0
110,0.116327,0.384623,0.001671,2.0,2.0
111,0.169284,0.399565,0.005002,2.0,2.0
112,0.267572,0.440185,0.009668,2.0,2.0
113,0.368962,0.48296,0.010004,2.0,2.0
114,0.442135,0.508017,0.007031,2.0,2.0
115,0.493077,0.523578,0.004842,2.0,2.0
116,0.520533,0.536182,0.002746,2.0,2.0
117,0.535006,0.542246,0.001427,2.0,2.0
118,0.545926,0.542567,0.000993,2.0,2.0
119,0.549243,0.545948,0.000431,1.0,1.0
120,0.551512,0.544218,0.000259,1.0,1.0
121,0.54971,0.545493,0.000201,1.0,1.0
122,0.553949,0.547411,0.000423,1.0,1.0
123,0.555755,0.559303,0.001094,2.0,2.0
124,0.556937,0.568447,0.000838,2.0,2.0
125,0.556489,0.588391,0.001814,2.0,2.0
126,0.557157,0.59124,0.000266,2.0,1.0
127,0.561358,0.581125,0.000996,2.0,2.0
128,0.564926,0.568512,0.001192,2.0,2.0
129,0.566104,0.55869,0.000899,1.0,2.0
130,0.56018,0.552068,0.000808,1.0,2.0
