,x,y,Velocity,Manually results,Classification results
0,-0.042848,0.735929,0.000408,1.0,1.0
1,-0.037081,0.736821,0.00053,1.0,1.0
2,-0.03289,0.736521,0.000382,1.0,1.0
3,-0.029993,0.733358,0.00039,1.0,1.0
4,-0.029498,0.729598,0.000345,1.0,1.0
5,-0.029428,0.723538,0.000551,1.0,1.0
6,-0.030287,0.717071,0.000593,1.0,1.0
7,-0.032116,0.709506,0.000708,1.0,1.0
8,-0.034084,0.702733,0.000641,1.0,1.0
9,-0.036323,0.694555,0.000771,1.0,1.0
10,-0.039873,0.684348,0.000982,1.0,2.0
11,-0.043613,0.672495,0.00113,1.0,2.0
12,-0.047594,0.659641,0.001223,1.0,2.0
13,-0.052576,0.645568,0.001357,1.0,2.0
14,-0.057751,0.632909,0.001243,1.0,2.0
15,-0.063164,0.620413,0.001238,1.0,2.0
16,-0.070229,0.610512,0.001106,1.0,2.0
17,-0.076788,0.600217,0.00111,1.0,2.0
18,-0.082324,0.592783,0.000843,1.0,1.0
19,-0.084897,0.586,0.00066,1.0,1.0
20,-0.087013,0.577618,0.000786,1.0,1.0
21,-0.088744,0.569504,0.000754,1.0,1.0
22,-0.091947,0.559453,0.000959,1.0,1.0
23,-0.094566,0.552084,0.000711,1.0,1.0
24,-0.096479,0.544238,0.000734,1.0,1.0
25,-0.098764,0.537826,0.000619,1.0,1.0
26,-0.101235,0.530844,0.000673,1.0,1.0
27,-0.103946,0.527597,0.000385,1.0,1.0
28,-0.104538,0.526058,0.00015,1.0,1.0
29,-0.088244,0.540479,0.001978,2.0,2.0
30,-0.065684,0.562729,0.002881,2.0,2.0
31,-0.044475,0.586876,0.002922,2.0,2.0
32,-0.01875,0.61822,0.003686,2.0,2.0
33,0.005007,0.651494,0.003717,2.0,2.0
34,0.024436,0.681561,0.003254,2.0,2.0
35,0.040118,0.703215,0.002431,2.0,2.0
36,0.051197,0.717262,0.001626,2.0,2.0
37,0.059551,0.724092,0.000981,2.0,2.0
38,0.065473,0.727064,0.000602,1.0,1.0
39,0.070498,0.72933,0.000501,1.0,1.0
40,0.072921,0.729384,0.00022,0.0,0.0
41,0.07383,0.731148,0.00018,0.0,0.0
42,0.074351,0.730066,0.000109,0.0,0.0
43,0.075271,0.727213,0.000272,0.0,0.0
44,0.075378,0.722538,0.000425,0.0,0.0
45,0.075408,0.719578,0.000269,0.0,0.0
46,0.074701,0.717992,0.000158,0.0,0.0
47,0.073834,0.717814,8e-05,0.0,0.0
48,0.070414,0.722162,0.000503,1.0,1.0
49,0.065446,0.732355,0.001031,1.0,2.0
50,0.059842,0.747527,0.00147,1.0,2.0
51,0.055497,0.75962,0.001168,1.0,2.0
52,0.050465,0.770349,0.001077,1.0,2.0
53,0.046448,0.777736,0.000764,1.0,1.0
54,0.042725,0.784729,0.00072,1.0,1.0
55,0.039894,0.787242,0.000344,1.0,1.0
56,0.038167,0.789257,0.000241,0.0,0.0
57,0.036641,0.790293,0.000168,0.0,0.0
58,0.035233,0.790962,0.000142,0.0,0.0
59,0.032421,0.791424,0.000259,0.0,0.0
60,0.029725,0.791336,0.000245,0.0,0.0
61,0.027678,0.791891,0.000193,0.0,0.0
62,0.026885,0.791744,7.3e-05,0.0,0.0
63,0.026058,0.791562,7.7e-05,0.0,0.0
64,0.024935,0.790881,0.000119,0.0,0.0
65,0.024162,0.790716,7.2e-05,0.0,0.0
66,0.02447,0.790386,4.1e-05,0.0,0.0
67,0.025603,0.790077,0.000107,0.0,0.0
68,0.026566,0.789505,0.000102,0.0,0.0
69,0.02734,0.78923,7.5e-05,0.0,0.0
70,0.027873,0.788431,8.7e-05,0.0,0.0
71,0.028069,0.787838,5.7e-05,0.0,0.0
72,0.028249,0.786754,0.0001,0.0,0.0
73,0.029049,0.785561,0.000131,0.0,0.0
74,0.030126,0.784555,0.000134,0.0,0.0
75,0.031123,0.784058,0.000101,0.0,0.0
76,0.0316,0.783793,5e-05,0.0,0.0
77,0.031986,0.782925,8.6e-05,0.0,0.0
78,0.032378,0.782214,7.4e-05,0.0,0.0
79,0.033163,0.781753,8.3e-05,0.0,0.0
