,x,y,Velocity,Manually results,Classification results
0,0.063922,0.04541,7.8e-05,0.0,0.0
1,0.063269,0.045992,8e-05,0.0,0.0
2,0.062668,0.046527,7.3e-05,0.0,0.0
3,0.062536,0.047779,0.000114,0.0,0.0
4,0.062513,0.051743,0.00036,1.0,1.0
5,0.062491,0.055603,0.000351,1.0,1.0
6,0.058167,0.060882,0.00062,1.0,2.0
7,0.052272,0.067902,0.000833,1.0,2.0
8,0.04677,0.074452,0.000778,1.0,2.0
9,0.046208,0.079592,0.00047,1.0,2.0
10,0.044421,0.088114,0.000792,2.0,2.0
11,0.04287,0.095507,0.000687,2.0,2.0
12,0.040135,0.103792,0.000793,2.0,2.0
13,0.036398,0.115075,0.001081,2.0,2.0
14,0.033266,0.12453,0.000905,2.0,2.0
15,0.030445,0.131843,0.000713,2.0,2.0
16,0.02646,0.139497,0.000784,2.0,2.0
17,0.023268,0.145629,0.000628,1.0,1.0
18,0.022251,0.144282,0.000153,0.0,0.0
19,0.021348,0.144978,0.000104,0.0,0.0
20,0.020639,0.145525,8.1e-05,0.0,0.0
21,0.030862,0.166679,0.002136,2.0,2.0
22,0.09356,0.264587,0.010569,2.0,2.0
23,0.14652,0.347287,0.008928,2.0,2.0
24,0.213713,0.431305,0.00978,2.0,2.0
25,0.274638,0.483793,0.007311,2.0,2.0
26,0.312867,0.516727,0.004587,2.0,2.0
27,0.336176,0.529113,0.0024,2.0,2.0
28,0.3481,0.527609,0.001093,2.0,2.0
29,0.355364,0.526693,0.000666,2.0,2.0
30,0.357216,0.53488,0.000763,2.0,2.0
31,0.359366,0.535559,0.000205,0.0,1.0
32,0.360741,0.535993,0.000131,0.0,1.0
33,0.351749,0.543513,0.001066,2.0,2.0
34,0.345241,0.551698,0.000951,2.0,2.0
35,0.340852,0.557218,0.000641,2.0,2.0
36,0.347119,0.553012,0.000686,2.0,2.0
37,0.353124,0.54688,0.00078,2.0,2.0
38,0.357324,0.54259,0.000546,1.0,1.0
39,0.359746,0.540495,0.000291,1.0,1.0
40,0.361999,0.539029,0.000244,1.0,1.0
41,0.363652,0.537953,0.000179,1.0,1.0
42,0.363352,0.514952,0.002091,2.0,2.0
43,0.361236,0.471277,0.003975,2.0,2.0
44,0.359172,0.428668,0.003878,2.0,2.0
45,0.355973,0.387738,0.003732,2.0,2.0
46,0.35247,0.35073,0.003379,2.0,2.0
47,0.349605,0.320446,0.002765,2.0,2.0
48,0.347726,0.299828,0.001882,2.0,2.0
49,0.346952,0.283942,0.001446,2.0,2.0
50,0.346384,0.272282,0.001061,2.0,2.0
51,0.346108,0.259829,0.001132,2.0,2.0
52,0.347304,0.253361,0.000598,2.0,1.0
53,0.34817,0.248676,0.000433,1.0,1.0
54,0.350112,0.246522,0.000264,0.0,1.0
55,0.350401,0.245495,9.7e-05,0.0,0.0
56,0.350614,0.24474,7.1e-05,0.0,0.0
57,0.350705,0.244421,3e-05,0.0,0.0
58,0.350943,0.243933,4.9e-05,0.0,0.0
59,0.351124,0.243563,3.7e-05,0.0,0.0
60,0.351484,0.242989,6.2e-05,0.0,0.0
61,0.351774,0.241722,0.000118,0.0,0.0
62,0.352001,0.240729,9.3e-05,0.0,0.0
63,0.352938,0.242337,0.000169,0.0,0.0
64,0.359741,0.249432,0.000894,1.0,2.0
65,0.365057,0.254975,0.000698,1.0,2.0
66,0.371049,0.259679,0.000693,1.0,2.0
67,0.375259,0.263136,0.000495,1.0,1.0
68,0.378826,0.266066,0.00042,1.0,1.0
69,0.382273,0.268777,0.000399,1.0,1.0
70,0.384746,0.270826,0.000292,1.0,1.0
71,0.38686,0.272576,0.00025,1.0,1.0
72,0.387396,0.274563,0.000187,0.0,1.0
73,0.387902,0.275868,0.000127,0.0,0.0
74,0.388331,0.276976,0.000108,0.0,0.0
75,0.390035,0.277922,0.000177,0.0,0.0
76,0.391062,0.277836,9.4e-05,0.0,0.0
77,0.391949,0.277762,8.1e-05,0.0,0.0
78,0.391872,0.27697,7.2e-05,0.0,0.0
79,0.392502,0.276406,7.7e-05,0.0,0.0
80,0.393048,0.275916,6.7e-05,0.0,0.0
81,0.394497,0.275663,0.000134,0.0,0.0
82,0.395239,0.275167,8.1e-05,0.0,0.0
83,0.395886,0.274734,7.1e-05,0.0,0.0
84,0.395443,0.274544,4.4e-05,0.0,0.0
85,0.39525,0.274836,3.2e-05,0.0,0.0
86,0.395083,0.275089,2.8e-05,0.0,0.0
87,0.395645,0.275992,9.7e-05,0.0,0.0
88,0.396363,0.277527,0.000154,0.0,0.0
89,0.397008,0.278905,0.000138,0.0,0.0
90,0.397486,0.278826,4.4e-05,0.0,0.0
