,x,y,Velocity,Manually results,Classification results
0,0.495014,0.135316,0.000142,1.0,1.0
1,0.495008,0.133965,0.000123,1.0,1.0
2,0.495241,0.132768,0.000111,1.0,1.0
3,0.495513,0.133398,6.2e-05,0.0,0.0
4,0.495512,0.133955,5.1e-05,0.0,0.0
5,0.495264,0.133966,2.3e-05,0.0,0.0
6,0.49516,0.134281,3e-05,0.0,0.0
7,0.495431,0.134911,6.2e-05,0.0,0.0
8,0.495757,0.135618,7.1e-05,0.0,0.0
9,0.496077,0.135129,5.3e-05,0.0,0.0
10,0.496332,0.134473,6.4e-05,0.0,0.0
11,0.496463,0.134371,1.5e-05,0.0,0.0
12,0.4966,0.135435,9.8e-05,0.0,0.0
13,0.496612,0.13649,9.6e-05,0.0,0.0
14,0.496656,0.137059,5.2e-05,0.0,0.0
15,0.496576,0.137015,8e-06,0.0,0.0
16,0.496679,0.136238,7.1e-05,0.0,0.0
17,0.496662,0.13533,8.3e-05,0.0,0.0
18,0.496736,0.134618,6.5e-05,0.0,0.0
19,0.496821,0.134716,1.2e-05,0.0,0.0
20,0.497062,0.135247,5.3e-05,0.0,0.0
21,0.497549,0.135836,6.9e-05,0.0,0.0
22,0.498868,0.13835,0.000258,1.0,1.0
23,0.500626,0.141213,0.000305,1.0,1.0
24,0.502472,0.144715,0.00036,1.0,1.0
25,0.503905,0.147344,0.000272,1.0,1.0
26,0.505334,0.150235,0.000293,1.0,1.0
27,0.506469,0.15223,0.000209,1.0,1.0
28,0.5073,0.154083,0.000185,1.0,1.0
29,0.507856,0.155307,0.000122,0.0,1.0
30,0.508093,0.157963,0.000242,1.0,1.0
31,0.508506,0.16073,0.000254,1.0,1.0
32,0.508874,0.163529,0.000257,1.0,1.0
33,0.50926,0.164427,8.9e-05,0.0,1.0
34,0.508557,0.165131,9e-05,0.0,1.0
35,0.507308,0.16573,0.000126,0.0,1.0
36,0.505861,0.166817,0.000164,1.0,1.0
37,0.5047,0.16773,0.000134,1.0,1.0
38,0.503541,0.168821,0.000145,1.0,1.0
39,0.502741,0.170106,0.000138,1.0,1.0
40,0.501908,0.171594,0.000155,1.0,1.0
41,0.501212,0.172888,0.000134,1.0,1.0
42,0.500457,0.174459,0.000158,1.0,1.0
43,0.499627,0.176415,0.000193,1.0,1.0
44,0.499064,0.178141,0.000165,1.0,1.0
45,0.498248,0.178672,8.8e-05,0.0,0.0
46,0.497515,0.178553,6.7e-05,0.0,0.0
47,0.49667,0.178412,7.8e-05,0.0,0.0
48,0.496115,0.178825,6.3e-05,0.0,0.0
49,0.495612,0.179639,8.7e-05,0.0,0.0
50,0.495131,0.180374,8e-05,0.0,0.0
51,0.494787,0.180884,5.6e-05,0.0,0.0
52,0.494733,0.180295,5.4e-05,0.0,0.0
53,0.494672,0.180171,1.3e-05,0.0,0.0
54,0.494597,0.180118,8e-06,0.0,0.0
55,0.494655,0.180445,3e-05,0.0,0.0
56,0.494661,0.180797,3.2e-05,0.0,0.0
57,0.494643,0.18123,3.9e-05,0.0,0.0
58,0.494491,0.181562,3.3e-05,0.0,0.0
59,0.494301,0.182052,4.8e-05,0.0,0.0
60,0.494256,0.182382,3e-05,0.0,0.0
61,0.494275,0.182799,3.8e-05,0.0,0.0
62,0.494371,0.182904,1.3e-05,0.0,0.0
63,0.494413,0.183081,1.7e-05,0.0,0.0
64,0.494103,0.183316,3.5e-05,0.0,0.0
65,0.493799,0.183638,4e-05,0.0,0.0
66,0.493351,0.183589,4.1e-05,0.0,0.0
67,0.49294,0.18408,5.8e-05,0.0,0.0
68,0.49245,0.184717,7.3e-05,0.0,0.0
69,0.492215,0.185556,7.9e-05,0.0,0.0
70,0.492236,0.186321,7e-05,0.0,0.0
71,0.492461,0.186664,3.7e-05,0.0,0.0
72,0.492678,0.187342,6.5e-05,0.0,0.0
73,0.49273,0.187874,4.9e-05,0.0,0.0
74,0.492652,0.188626,6.9e-05,0.0,0.0
75,0.492359,0.189015,4.4e-05,0.0,0.0
76,0.492224,0.189131,1.6e-05,0.0,0.0
77,0.492049,0.18943,3.2e-05,0.0,0.0
78,0.49198,0.189753,3e-05,0.0,0.0
79,0.491865,0.190412,6.1e-05,0.0,0.0
80,0.491901,0.190701,2.6e-05,0.0,0.0
81,0.49204,0.19091,2.3e-05,0.0,0.0
82,0.492161,0.190833,1.3e-05,0.0,0.0
83,0.492292,0.19117,3.3e-05,0.0,0.0
84,0.492436,0.192092,8.5e-05,0.0,0.0
85,0.492657,0.193282,0.00011,0.0,0.0
86,0.492709,0.194561,0.000116,0.0,0.0
87,0.492718,0.195589,9.3e-05,0.0,0.0
88,0.492579,0.19658,9.1e-05,0.0,0.0
89,0.492667,0.197186,5.6e-05,0.0,0.0
