,x,y,Velocity,Manually results,Classification results
0,-0.038036,0.33651,0.000382,1.0,0.0
1,-0.03745,0.340738,0.000388,1.0,1.0
2,-0.036804,0.344605,0.000356,1.0,1.0
3,-0.036197,0.348529,0.000361,1.0,1.0
4,-0.0358,0.353172,0.000424,1.0,1.0
5,-0.035689,0.364308,0.001012,2.0,1.0
6,-0.027866,0.373843,0.001121,2.0,1.0
7,0.004496,0.386911,0.003173,2.0,2.0
8,0.070497,0.41675,0.006585,2.0,2.0
9,0.141442,0.448113,0.007052,2.0,2.0
10,0.199329,0.473804,0.005757,2.0,2.0
11,0.243037,0.499152,0.004593,2.0,2.0
12,0.270325,0.506918,0.002579,2.0,2.0
13,0.289463,0.511465,0.001788,2.0,2.0
14,0.302196,0.510141,0.001164,2.0,1.0
15,0.311956,0.514164,0.00096,2.0,1.0
16,0.317071,0.518979,0.000639,1.0,1.0
17,0.319491,0.522568,0.000394,1.0,1.0
18,0.320611,0.5285,0.000549,1.0,1.0
19,0.321635,0.532331,0.000361,1.0,1.0
20,0.323344,0.534983,0.000287,1.0,1.0
21,0.324892,0.536646,0.000206,1.0,1.0
22,0.326303,0.540101,0.000339,1.0,1.0
23,0.327375,0.543642,0.000336,1.0,1.0
24,0.328966,0.547728,0.000399,1.0,1.0
25,0.330007,0.550081,0.000234,0.0,0.0
26,0.330376,0.550865,7.9e-05,0.0,0.0
27,0.330853,0.553417,0.000236,0.0,0.0
28,0.331113,0.555307,0.000173,0.0,0.0
29,0.331624,0.5588,0.000321,0.0,0.0
30,0.331648,0.56,0.000109,0.0,0.0
31,0.331896,0.560966,9.1e-05,0.0,0.0
32,0.332114,0.560925,2e-05,0.0,0.0
33,0.332925,0.560323,9.2e-05,0.0,0.0
34,0.333157,0.56086,5.3e-05,0.0,0.0
35,0.333832,0.561388,7.8e-05,0.0,0.0
36,0.334449,0.562475,0.000114,0.0,0.0
37,0.33493,0.563152,7.5e-05,0.0,0.0
38,0.335011,0.564369,0.000111,0.0,0.0
39,0.331167,0.563332,0.000362,1.0,1.0
40,0.321166,0.559919,0.000961,2.0,1.0
41,0.302619,0.550428,0.001894,2.0,2.0
42,0.270213,0.534884,0.003267,2.0,2.0
43,0.233208,0.517557,0.003715,2.0,2.0
44,0.199045,0.499369,0.003518,2.0,2.0
45,0.170781,0.485397,0.002866,2.0,2.0
46,0.148867,0.473507,0.002267,2.0,2.0
47,0.134418,0.468816,0.001381,2.0,2.0
48,0.123028,0.465675,0.001074,2.0,1.0
49,0.114305,0.464319,0.000803,1.0,1.0
50,0.107044,0.46326,0.000667,1.0,1.0
51,0.101561,0.463829,0.000501,1.0,1.0
52,0.098237,0.465181,0.000326,1.0,1.0
53,0.096167,0.46704,0.000253,0.0,0.0
54,0.09465,0.468273,0.000178,0.0,0.0
55,0.093946,0.467513,9.4e-05,0.0,0.0
56,0.092496,0.46494,0.000268,0.0,0.0
57,0.088947,0.463715,0.000341,1.0,1.0
58,0.084141,0.461239,0.000491,1.0,1.0
59,0.079386,0.459579,0.000458,1.0,1.0
60,0.076166,0.455897,0.000445,1.0,1.0
