,x,y,Velocity,manually results,Classification results
0,0.139182,0.195175,5.2e-05,0.0,0.0
1,0.139234,0.195605,3.9e-05,0.0,0.0
2,0.139292,0.195546,7e-06,0.0,0.0
3,0.139384,0.195385,1.7e-05,0.0,0.0
4,0.139327,0.195411,6e-06,0.0,0.0
5,0.139137,0.195767,3.7e-05,0.0,0.0
6,0.138953,0.196258,4.8e-05,0.0,0.0
7,0.138852,0.196677,3.9e-05,0.0,0.0
8,0.138631,0.196615,2.1e-05,0.0,0.0
9,0.13834,0.196285,4e-05,0.0,0.0
10,0.138044,0.19593,4.2e-05,0.0,0.0
11,0.13861,0.196252,5.9e-05,0.0,0.0
12,0.140694,0.197766,0.000234,1.0,2.0
13,0.153198,0.20697,0.001412,2.0,2.0
14,0.201657,0.240141,0.005339,2.0,1.0
15,0.262098,0.282393,0.006704,2.0,1.0
16,0.32741,0.326284,0.007154,2.0,1.0
17,0.379001,0.364735,0.005849,2.0,1.0
18,0.413981,0.39109,0.003982,2.0,1.0
19,0.438409,0.408107,0.002706,2.0,1.0
20,0.453221,0.420552,0.001759,2.0,2.0
21,0.462934,0.430866,0.001288,2.0,2.0
22,0.468776,0.439175,0.000923,1.0,2.0
23,0.474016,0.44304,0.000592,1.0,1.0
24,0.477245,0.442195,0.000303,1.0,1.0
25,0.479675,0.44184,0.000223,1.0,1.0
26,0.48125,0.441293,0.000152,1.0,1.0
27,0.481051,0.442666,0.000126,1.0,1.0
28,0.468382,0.436949,0.001264,2.0,2.0
29,0.439353,0.421568,0.002987,2.0,2.0
30,0.417638,0.410392,0.00222,2.0,2.0
31,0.400565,0.404914,0.00163,2.0,2.0
32,0.384922,0.400621,0.001475,2.0,2.0
33,0.367279,0.394417,0.0017,2.0,2.0
34,0.349634,0.38457,0.001837,2.0,2.0
35,0.332965,0.375703,0.001716,2.0,2.0
36,0.318335,0.367752,0.001514,2.0,2.0
37,0.305897,0.361424,0.001269,2.0,2.0
38,0.29652,0.355519,0.001007,2.0,2.0
39,0.289013,0.351785,0.000762,1.0,2.0
40,0.282758,0.349285,0.000612,1.0,1.0
41,0.27777,0.347127,0.000494,1.0,1.0
42,0.273929,0.346495,0.000354,1.0,1.0
43,0.271543,0.344426,0.000287,1.0,1.0
44,0.2694,0.343884,0.000201,1.0,1.0
45,0.267924,0.343452,0.00014,0.0,0.0
46,0.266884,0.342561,0.000124,0.0,0.0
47,0.266254,0.34146,0.000115,0.0,0.0
48,0.265318,0.340671,0.000111,0.0,0.0
49,0.264745,0.340484,5.5e-05,0.0,0.0
50,0.264547,0.341239,7.1e-05,0.0,0.0
51,0.264696,0.341147,1.6e-05,0.0,0.0
52,0.264402,0.342075,8.9e-05,0.0,0.0
53,0.264513,0.34207,1e-05,0.0,0.0
54,0.264484,0.341586,4.4e-05,0.0,0.0
55,0.264673,0.339706,0.000172,0.0,1.0
56,0.26454,0.337773,0.000176,0.0,1.0
57,0.264273,0.336159,0.000149,0.0,1.0
58,0.263155,0.335161,0.000136,0.0,1.0
59,0.260106,0.333231,0.000328,1.0,1.0
60,0.256974,0.330971,0.000351,1.0,1.0
61,0.253084,0.328728,0.000408,1.0,1.0
62,0.249979,0.326492,0.000348,1.0,1.0
63,0.247566,0.324774,0.000269,1.0,1.0
64,0.245682,0.323501,0.000207,1.0,1.0
65,0.243968,0.3236,0.000156,0.0,0.0
66,0.24241,0.323962,0.000145,0.0,0.0
67,0.240846,0.32466,0.000156,0.0,0.0
68,0.239624,0.325311,0.000126,0.0,0.0
69,0.238539,0.32622,0.000129,0.0,0.0
70,0.238123,0.325283,9.3e-05,0.0,0.0
71,0.238087,0.324055,0.000112,0.0,0.0
72,0.23769,0.322983,0.000104,0.0,0.0
73,0.237163,0.322398,7.2e-05,0.0,0.0
74,0.236805,0.322031,4.7e-05,0.0,0.0
75,0.236889,0.321793,2.3e-05,0.0,0.0
76,0.237333,0.321636,4.3e-05,0.0,0.0
77,0.237724,0.321083,6.2e-05,0.0,0.0
78,0.237755,0.320323,6.9e-05,0.0,0.0
79,0.237853,0.317848,0.000225,1.0,1.0
80,0.237613,0.315655,0.000201,1.0,1.0
81,0.23746,0.31395,0.000156,0.0,0.0
82,0.2371,0.313045,8.9e-05,0.0,0.0
83,0.23645,0.313101,5.9e-05,0.0,0.0
84,0.235969,0.312876,4.8e-05,0.0,0.0
85,0.235627,0.314378,0.00014,0.0,0.0
86,0.235957,0.315424,0.0001,0.0,0.0
87,0.236262,0.316548,0.000106,0.0,0.0
88,0.236531,0.317322,7.4e-05,0.0,0.0
89,0.236483,0.318011,6.3e-05,0.0,0.0
90,0.236329,0.318863,7.9e-05,0.0,0.0
91,0.236124,0.319211,3.7e-05,0.0,0.0
92,0.236109,0.318604,5.5e-05,0.0,0.0
93,0.236085,0.317561,9.5e-05,0.0,0.0
94,0.23599,0.315868,0.000154,0.0,0.0
95,0.236139,0.314181,0.000154,0.0,0.0
96,0.236339,0.312511,0.000153,0.0,0.0
97,0.236523,0.312688,2.3e-05,0.0,0.0
98,0.236463,0.312767,9e-06,0.0,0.0
99,0.236435,0.312843,7e-06,0.0,0.0
100,0.236381,0.312122,6.6e-05,0.0,0.0
101,0.236113,0.311798,3.8e-05,0.0,0.0
