,x,y,Velocity,manually results,Classification results
0,0.198752,0.179093,2.8e-05,0.0,0.0
1,0.198971,0.178814,3.2e-05,0.0,0.0
2,0.199461,0.178375,6e-05,0.0,0.0
3,0.199975,0.178485,4.8e-05,0.0,0.0
4,0.200269,0.17841,2.8e-05,0.0,0.0
5,0.200446,0.178193,2.5e-05,0.0,0.0
6,0.200532,0.177652,5e-05,0.0,0.0
7,0.2007,0.177105,5.2e-05,0.0,0.0
8,0.200901,0.176901,2.6e-05,0.0,0.0
9,0.201006,0.176257,5.9e-05,0.0,0.0
10,0.20115,0.176028,2.5e-05,0.0,0.0
11,0.201522,0.176166,3.6e-05,0.0,0.0
12,0.201845,0.176605,5e-05,0.0,0.0
13,0.20223,0.176705,3.6e-05,0.0,0.0
14,0.202489,0.177011,3.6e-05,0.0,0.0
15,0.202853,0.177148,3.5e-05,0.0,0.0
16,0.203282,0.177319,4.2e-05,0.0,0.0
17,0.203814,0.176672,7.6e-05,0.0,1.0
18,0.204701,0.176582,8.1e-05,0.0,1.0
19,0.209045,0.178473,0.000431,1.0,1.0
20,0.22096,0.181907,0.001127,2.0,2.0
21,0.272657,0.187339,0.004726,2.0,2.0
22,0.33931,0.195269,0.006102,2.0,2.0
23,0.397638,0.202684,0.005345,2.0,2.0
24,0.439874,0.208829,0.00388,2.0,2.0
25,0.468315,0.210609,0.002591,2.0,2.0
26,0.487794,0.212437,0.001779,2.0,2.0
27,0.500008,0.214202,0.001122,2.0,2.0
28,0.510647,0.212754,0.000976,2.0,2.0
29,0.519281,0.214198,0.000796,2.0,2.0
30,0.525868,0.21351,0.000602,2.0,2.0
31,0.529127,0.215213,0.000334,1.0,1.0
32,0.531305,0.214088,0.000223,1.0,1.0
33,0.534705,0.209537,0.000517,1.0,1.0
34,0.537852,0.205158,0.00049,1.0,1.0
35,0.539776,0.202123,0.000327,1.0,1.0
36,0.545038,0.200509,0.0005,1.0,1.0
37,0.548536,0.200144,0.00032,1.0,1.0
38,0.551395,0.200248,0.00026,1.0,1.0
39,0.549089,0.203757,0.000382,1.0,1.0
40,0.550369,0.206246,0.000254,1.0,1.0
41,0.5516,0.207679,0.000172,1.0,1.0
42,0.554675,0.207041,0.000285,1.0,1.0
43,0.557715,0.207122,0.000276,1.0,1.0
44,0.560512,0.207397,0.000255,1.0,1.0
45,0.563934,0.20934,0.000358,1.0,1.0
46,0.566422,0.210669,0.000256,1.0,1.0
47,0.568253,0.212021,0.000207,1.0,1.0
48,0.569501,0.212779,0.000133,0.0,0.0
49,0.570497,0.213594,0.000117,0.0,0.0
50,0.571349,0.214416,0.000108,0.0,0.0
51,0.57297,0.21534,0.00017,0.0,0.0
52,0.573938,0.216437,0.000133,0.0,0.0
53,0.574525,0.217386,0.000101,0.0,0.0
54,0.573809,0.219606,0.000212,0.0,0.0
55,0.573155,0.221422,0.000175,0.0,0.0
56,0.572582,0.22278,0.000134,0.0,0.0
57,0.571623,0.224931,0.000214,0.0,0.0
58,0.570956,0.226855,0.000185,0.0,0.0
59,0.570404,0.228683,0.000174,0.0,0.0
60,0.571713,0.228859,0.00012,0.0,0.0
61,0.572927,0.22909,0.000112,0.0,0.0
62,0.574187,0.229396,0.000118,0.0,0.0
63,0.575277,0.231225,0.000193,0.0,0.0
64,0.576171,0.232872,0.00017,0.0,0.0
65,0.576938,0.233879,0.000115,0.0,0.0
66,0.577927,0.233476,9.7e-05,0.0,0.0
67,0.579015,0.233563,9.9e-05,0.0,0.0
68,0.579733,0.233555,6.5e-05,0.0,0.0
69,0.578574,0.234563,0.00014,0.0,0.0
70,0.577854,0.23475,6.8e-05,0.0,0.0
71,0.577426,0.235261,6.1e-05,0.0,0.0
72,0.577116,0.235154,3e-05,0.0,0.0
73,0.576344,0.235702,8.6e-05,0.0,0.0
74,0.575564,0.235787,7.1e-05,0.0,0.0
75,0.575634,0.236077,2.7e-05,0.0,0.0
76,0.575806,0.236046,1.6e-05,0.0,0.0
77,0.575898,0.235925,1.4e-05,0.0,0.0
78,0.575239,0.236125,6.3e-05,0.0,0.0
79,0.574345,0.237727,0.000167,0.0,0.0
80,0.573753,0.239943,0.000209,0.0,0.0
81,0.573056,0.240833,0.000103,0.0,0.0
82,0.57279,0.241175,3.9e-05,0.0,0.0
83,0.572484,0.241362,3.3e-05,0.0,0.0
84,0.57201,0.241387,4.3e-05,0.0,0.0
