,x,y,Velocity,Manually results,Classification results
0,-0.01152,0.204832,1.8e-05,0.0,0.0
1,-0.011767,0.204965,2.6e-05,0.0,0.0
2,-0.011926,0.2052,2.6e-05,0.0,0.0
3,-0.011992,0.205073,1.3e-05,0.0,0.0
4,-0.011898,0.205271,2e-05,0.0,0.0
5,-0.01191,0.205693,3.8e-05,0.0,0.0
6,-0.011373,0.208327,0.000244,1.0,1.0
7,0.24244,0.963701,0.008049,2.0,2.0
8,0.296489,0.761272,0.019047,2.0,2.0
9,0.322953,0.801318,0.004364,2.0,2.0
10,0.354514,0.728428,0.007221,2.0,2.0
11,0.376477,0.667701,0.005871,2.0,2.0
12,0.39695,0.619789,0.004737,2.0,2.0
13,0.413214,0.585433,0.003456,2.0,2.0
14,0.427394,0.555158,0.003039,2.0,2.0
15,0.436488,0.528016,0.002602,2.0,2.0
16,0.442596,0.510378,0.001697,2.0,2.0
17,0.444773,0.500851,0.000888,2.0,2.0
18,0.446504,0.49541,0.000519,1.0,1.0
19,0.447316,0.493157,0.000218,0.0,0.0
20,0.448447,0.493612,0.000111,0.0,0.0
21,0.449242,0.493635,7.2e-05,0.0,0.0
22,0.449383,0.49309,5.1e-05,0.0,0.0
23,0.449442,0.49166,0.00013,0.0,0.0
24,0.449521,0.490934,6.6e-05,0.0,0.0
25,0.449124,0.490608,4.7e-05,0.0,0.0
26,0.448582,0.491145,6.9e-05,0.0,0.0
27,0.443671,0.488814,0.000494,1.0,1.0
28,0.431515,0.480356,0.001346,2.0,2.0
29,0.402292,0.461135,0.00318,2.0,2.0
30,0.353814,0.428655,0.005305,2.0,2.0
31,0.296607,0.390711,0.006241,2.0,2.0
32,0.247842,0.36058,0.005211,2.0,2.0
33,0.212565,0.339039,0.003758,2.0,2.0
34,0.188942,0.324489,0.002522,2.0,2.0
35,0.174318,0.312897,0.001696,2.0,2.0
36,0.165682,0.305485,0.001035,2.0,2.0
37,0.160199,0.302167,0.000583,1.0,1.0
38,0.155337,0.302326,0.000442,1.0,1.0
39,0.152285,0.302648,0.000279,1.0,1.0
40,0.146967,0.302957,0.000484,1.0,1.0
41,0.137912,0.298882,0.000903,2.0,2.0
42,0.125671,0.293911,0.001201,2.0,2.0
43,0.113586,0.28777,0.001232,2.0,2.0
44,0.104887,0.283289,0.00089,2.0,2.0
45,0.098286,0.279716,0.000682,1.0,1.0
46,0.094885,0.277291,0.00038,1.0,1.0
47,0.092156,0.275689,0.000288,1.0,1.0
48,0.090418,0.275391,0.00016,0.0,0.0
49,0.08954,0.275914,9.3e-05,0.0,0.0
50,0.089628,0.276236,3e-05,0.0,0.0
51,0.089929,0.276165,2.8e-05,0.0,0.0
52,0.090302,0.276478,4.4e-05,0.0,0.0
53,0.090152,0.276764,2.9e-05,0.0,0.0
54,0.090279,0.27739,5.8e-05,0.0,0.0
55,0.090068,0.276784,5.8e-05,0.0,0.0
56,0.089774,0.276501,3.7e-05,0.0,0.0
57,0.08947,0.276233,3.7e-05,0.0,0.0
58,0.089267,0.27571,5.1e-05,0.0,0.0
59,0.089053,0.275138,5.6e-05,0.0,0.0
60,0.088771,0.274931,3.2e-05,0.0,0.0
61,0.08811,0.274825,6.1e-05,0.0,0.0
62,0.087906,0.274213,5.9e-05,0.0,0.0
63,0.087402,0.273414,8.6e-05,0.0,0.0
64,0.087034,0.273095,4.4e-05,0.0,0.0
65,0.086194,0.272898,7.8e-05,0.0,0.0
66,0.085789,0.273107,4.1e-05,0.0,0.0
67,0.085707,0.272923,1.8e-05,0.0,0.0
68,0.085871,0.272617,3.2e-05,0.0,0.0
69,0.08567,0.272219,4e-05,0.0,0.0
70,0.085344,0.272584,4.4e-05,0.0,0.0
71,0.085216,0.273013,4.1e-05,0.0,0.0
72,0.084794,0.273066,3.9e-05,0.0,0.0
73,0.083965,0.273146,7.6e-05,0.0,0.0
74,0.082457,0.272694,0.000143,0.0,0.0
75,0.081148,0.272392,0.000122,0.0,0.0
76,0.07979,0.271554,0.000145,0.0,0.0
77,0.078371,0.270524,0.000159,0.0,0.0
78,0.077032,0.269535,0.000151,0.0,0.0
79,0.075756,0.268374,0.000157,0.0,0.0
80,0.074789,0.267811,0.000102,0.0,0.0
81,0.073867,0.267168,0.000102,0.0,0.0
82,0.07324,0.266482,8.4e-05,0.0,0.0
83,0.07264,0.265556,0.0001,0.0,0.0
84,0.072021,0.264779,9e-05,0.0,0.0
85,0.071405,0.263902,9.7e-05,0.0,0.0
86,0.070844,0.263745,5.3e-05,0.0,0.0
87,0.07033,0.26391,4.9e-05,0.0,0.0
88,0.069939,0.264104,4e-05,0.0,0.0
89,0.069695,0.263505,5.9e-05,0.0,0.0
90,0.069599,0.263029,4.4e-05,0.0,0.0
91,0.06964,0.262858,1.6e-05,0.0,0.0
92,0.069811,0.262555,3.2e-05,0.0,0.0
93,0.069909,0.262095,4.3e-05,0.0,0.0
94,0.069962,0.261621,4.3e-05,0.0,0.0
95,0.069864,0.261699,1.1e-05,0.0,0.0
96,0.069803,0.261717,6e-06,0.0,0.0
97,0.069726,0.262039,3e-05,0.0,0.0
98,0.069567,0.262243,2.4e-05,0.0,0.0
99,0.069526,0.262286,5e-06,0.0,0.0
100,0.069259,0.262821,5.4e-05,0.0,0.0
101,0.069173,0.263695,8e-05,0.0,0.0
102,0.069045,0.264479,7.2e-05,0.0,0.0
103,0.068878,0.265097,5.8e-05,0.0,0.0
104,0.068598,0.265538,4.8e-05,0.0,0.0
105,0.068316,0.269548,0.000365,1.0,1.0
106,0.068454,0.2825,0.001177,2.0,2.0
107,0.070032,0.352377,0.006354,2.0,2.0
108,0.075057,0.493759,0.012861,2.0,2.0
109,0.077787,0.631,0.012479,2.0,2.0
110,0.080464,0.733906,0.009358,2.0,2.0
111,0.081873,0.798867,0.005907,2.0,2.0
112,0.084057,0.834899,0.003282,2.0,2.0
113,0.085351,0.853716,0.001715,2.0,2.0
114,0.085992,0.863539,0.000895,2.0,2.0
115,0.086256,0.867533,0.000364,1.0,1.0
116,0.085718,0.868968,0.000139,0.0,0.0
117,0.085511,0.869276,3.4e-05,0.0,0.0
118,0.084622,0.868998,8.5e-05,0.0,0.0
119,0.084234,0.869462,5.5e-05,0.0,0.0
120,0.083848,0.869987,5.9e-05,0.0,0.0
121,0.084339,0.870686,7.8e-05,0.0,0.0
122,0.085028,0.8702,7.7e-05,0.0,0.0
123,0.08567,0.869838,6.7e-05,0.0,0.0
124,0.08612,0.868274,0.000148,0.0,0.0
125,0.086059,0.867952,3e-05,0.0,0.0
126,0.08615,0.867738,2.1e-05,0.0,0.0
127,0.085811,0.868979,0.000117,0.0,0.0
128,0.085806,0.869485,4.6e-05,0.0,0.0
129,0.08642,0.870102,7.9e-05,0.0,0.0
130,0.086903,0.870842,8e-05,0.0,0.0
131,0.0873,0.871153,4.6e-05,0.0,0.0
132,0.087204,0.871342,1.9e-05,0.0,0.0
133,0.086852,0.870893,5.2e-05,0.0,0.0
134,0.086546,0.870529,4.3e-05,0.0,0.0
135,0.086466,0.870205,3e-05,0.0,0.0
136,0.086625,0.870504,3.1e-05,0.0,0.0
137,0.086794,0.871482,9e-05,0.0,0.0
138,0.086562,0.872248,7.3e-05,0.0,0.0
139,0.08622,0.873476,0.000116,0.0,0.0
140,0.085882,0.873381,3.2e-05,0.0,0.0
141,0.085823,0.873238,1.4e-05,0.0,0.0
142,0.08637,0.872116,0.000113,0.0,0.0
143,0.086977,0.871535,7.6e-05,0.0,0.0
144,0.087635,0.871285,6.4e-05,0.0,0.0
145,0.087781,0.871469,2.1e-05,0.0,0.0
146,0.087951,0.871567,1.8e-05,0.0,0.0
147,0.088066,0.871612,1.1e-05,0.0,0.0
148,0.08817,0.871529,1.2e-05,0.0,0.0
149,0.089746,0.870573,0.000168,0.0,0.0
150,0.095893,0.866413,0.000675,1.0,1.0
151,0.118117,0.850133,0.002504,2.0,2.0
152,0.165796,0.813849,0.005447,2.0,2.0
