,x,y,Velocity,Manually results,Classification results
0,0.093543,0.157239,8.1e-05,0.0,0.0
1,0.093861,0.156616,6.4e-05,0.0,0.0
2,0.094127,0.156194,4.5e-05,0.0,0.0
3,0.093698,0.158816,0.000242,0.0,1.0
4,0.093123,0.162442,0.000334,1.0,1.0
5,0.092452,0.167186,0.000436,1.0,1.0
6,0.091799,0.171414,0.000389,1.0,1.0
7,0.091224,0.174538,0.000289,1.0,1.0
8,0.09053,0.177157,0.000246,1.0,1.0
9,0.089967,0.179303,0.000202,0.0,1.0
10,0.089396,0.181313,0.00019,0.0,1.0
11,0.088895,0.182739,0.000137,0.0,0.0
12,0.08875,0.183184,4.3e-05,0.0,0.0
13,0.088703,0.184033,7.7e-05,0.0,0.0
14,0.088817,0.184917,8.1e-05,0.0,0.0
15,0.088795,0.185454,4.9e-05,0.0,0.0
16,0.088561,0.185549,2.3e-05,0.0,0.0
17,0.088015,0.185618,5e-05,0.0,0.0
18,0.087387,0.1862,7.8e-05,0.0,0.0
19,0.086724,0.18697,9.2e-05,0.0,0.0
20,0.086387,0.187458,5.4e-05,0.0,0.0
21,0.086152,0.187968,5.1e-05,0.0,0.0
22,0.086116,0.188677,6.5e-05,0.0,0.0
23,0.086136,0.190014,0.000122,0.0,0.0
24,0.089726,0.193745,0.000471,1.0,1.0
25,0.100758,0.209139,0.001722,2.0,2.0
26,0.128839,0.256761,0.005026,2.0,2.0
27,0.166254,0.338077,0.008137,2.0,2.0
28,0.201391,0.415982,0.007769,2.0,2.0
29,0.228062,0.476749,0.006033,2.0,2.0
30,0.246244,0.517502,0.004057,2.0,2.0
31,0.257731,0.545711,0.002769,2.0,2.0
32,0.265231,0.562754,0.001693,2.0,2.0
33,0.269693,0.572525,0.000976,2.0,2.0
34,0.272314,0.578321,0.000578,1.0,1.0
35,0.274066,0.582632,0.000423,1.0,1.0
36,0.275127,0.586222,0.00034,1.0,1.0
37,0.274732,0.589096,0.000264,1.0,1.0
38,0.269531,0.589963,0.000479,1.0,1.0
39,0.264893,0.589355,0.000425,1.0,1.0
40,0.260596,0.588798,0.000394,1.0,1.0
41,0.258369,0.589058,0.000204,0.0,1.0
42,0.257107,0.587952,0.000153,0.0,0.0
43,0.255791,0.586978,0.000149,0.0,0.0
44,0.255016,0.585219,0.000175,0.0,0.0
45,0.254564,0.58412,0.000108,0.0,0.0
46,0.254463,0.582974,0.000105,0.0,0.0
47,0.254334,0.582295,6.3e-05,0.0,0.0
48,0.25407,0.581318,9.2e-05,0.0,0.0
49,0.253719,0.580962,4.5e-05,0.0,0.0
50,0.253654,0.580731,2.2e-05,0.0,0.0
51,0.253693,0.580241,4.5e-05,0.0,0.0
52,0.253354,0.580277,3.1e-05,0.0,0.0
53,0.252964,0.580339,3.6e-05,0.0,0.0
54,0.252177,0.58011,7.4e-05,0.0,0.0
55,0.251622,0.579201,9.7e-05,0.0,0.0
56,0.250816,0.578398,0.000103,0.0,0.0
57,0.25035,0.578563,4.5e-05,0.0,0.0
58,0.24987,0.578783,4.8e-05,0.0,0.0
59,0.250045,0.578797,1.6e-05,0.0,0.0
60,0.249765,0.578256,5.5e-05,0.0,0.0
61,0.249491,0.577624,6.3e-05,0.0,0.0
62,0.248925,0.577302,5.9e-05,0.0,0.0
63,0.248268,0.577834,7.7e-05,0.0,0.0
64,0.247826,0.57861,8.1e-05,0.0,0.0
65,0.247299,0.578779,5e-05,0.0,0.0
66,0.247101,0.578809,1.8e-05,0.0,0.0
67,0.246886,0.578651,2.4e-05,0.0,0.0
68,0.246677,0.579026,3.9e-05,0.0,0.0
69,0.246458,0.579438,4.2e-05,0.0,0.0
70,0.246245,0.579538,2.1e-05,0.0,0.0
71,0.24623,0.580195,6e-05,0.0,0.0
72,0.24636,0.580799,5.6e-05,0.0,0.0
73,0.246467,0.581415,5.7e-05,0.0,0.0
74,0.246401,0.581695,2.6e-05,0.0,0.0
75,0.246343,0.581995,2.8e-05,0.0,0.0
76,0.246442,0.582057,1.1e-05,0.0,0.0
77,0.246614,0.582503,4.3e-05,0.0,0.0
78,0.246609,0.582704,1.8e-05,0.0,0.0
79,0.246342,0.583263,5.6e-05,0.0,0.0
80,0.246208,0.583166,1.5e-05,0.0,0.0
81,0.246168,0.584,7.6e-05,0.0,0.0
82,0.24624,0.584513,4.7e-05,0.0,0.0
83,0.246423,0.585201,6.5e-05,0.0,0.0
84,0.246491,0.585722,4.8e-05,0.0,0.0
85,0.246514,0.586093,3.4e-05,0.0,0.0
86,0.246362,0.586527,4.2e-05,0.0,0.0
87,0.245867,0.586966,6e-05,0.0,0.0
88,0.245549,0.587378,4.7e-05,0.0,0.0
89,0.245396,0.587444,1.5e-05,0.0,0.0
90,0.245306,0.588011,5.2e-05,0.0,0.0
91,0.245173,0.588595,5.4e-05,0.0,0.0
92,0.244908,0.589367,7.4e-05,0.0,0.0
93,0.244673,0.589457,2.3e-05,0.0,0.0
94,0.244266,0.589514,3.7e-05,0.0,0.0
95,0.24386,0.589517,3.7e-05,0.0,0.0
96,0.243811,0.589306,2e-05,0.0,0.0
97,0.244203,0.588886,5.2e-05,0.0,0.0
98,0.244704,0.588496,5.8e-05,0.0,0.0
99,0.245117,0.587954,6.2e-05,0.0,0.0
100,0.245223,0.587889,1.1e-05,0.0,0.0
101,0.245316,0.588202,3e-05,0.0,0.0
102,0.245563,0.588613,4.4e-05,0.0,0.0
103,0.245653,0.588783,1.7e-05,0.0,0.0
104,0.245639,0.588773,1e-06,0.0,0.0
105,0.245797,0.588603,2.1e-05,0.0,0.0
106,0.246074,0.5883,3.7e-05,0.0,0.0
107,0.246319,0.587821,4.9e-05,0.0,0.0
108,0.24622,0.587293,4.9e-05,0.0,0.0
109,0.246068,0.58705,2.6e-05,0.0,0.0
110,0.245898,0.586897,2.1e-05,0.0,0.0
111,0.245589,0.586798,2.9e-05,0.0,0.0
112,0.245752,0.586839,1.5e-05,0.0,0.0
113,0.250409,0.587774,0.000432,1.0,1.0
114,0.270033,0.593482,0.001858,2.0,2.0
115,0.314233,0.607412,0.004213,2.0,2.0
116,0.383194,0.628238,0.006549,2.0,2.0
117,0.448732,0.650015,0.006278,2.0,2.0
118,0.497065,0.664386,0.004584,2.0,2.0
119,0.529859,0.674951,0.003132,2.0,2.0
120,0.552437,0.680597,0.002116,2.0,2.0
121,0.565636,0.6857,0.001286,2.0,2.0
122,0.574682,0.690043,0.000912,2.0,2.0
123,0.580164,0.69429,0.00063,1.0,1.0
124,0.584117,0.696138,0.000397,1.0,1.0
125,0.586341,0.697349,0.00023,1.0,1.0
126,0.587275,0.697031,9e-05,1.0,1.0
127,0.586768,0.699351,0.000216,1.0,1.0
128,0.584568,0.701877,0.000305,1.0,1.0
129,0.580892,0.705395,0.000463,1.0,1.0
130,0.577803,0.708386,0.000391,1.0,1.0
131,0.57537,0.71089,0.000317,1.0,1.0
132,0.574688,0.71207,0.000124,0.0,0.0
133,0.57492,0.711519,5.4e-05,0.0,0.0
134,0.574847,0.7111,3.9e-05,0.0,0.0
135,0.575791,0.71176,0.000105,0.0,0.0
136,0.576176,0.713372,0.000151,0.0,0.0
137,0.576389,0.714877,0.000138,0.0,0.0
138,0.575086,0.714921,0.000118,0.0,0.0
139,0.574051,0.714372,0.000107,0.0,0.0
140,0.573195,0.714508,7.9e-05,0.0,0.0
141,0.572455,0.713876,8.9e-05,0.0,0.0
142,0.571638,0.713217,9.5e-05,0.0,0.0
143,0.571048,0.712586,7.8e-05,0.0,0.0
144,0.571074,0.713354,7e-05,0.0,0.0
145,0.571703,0.714275,0.000101,0.0,0.0
146,0.572413,0.714548,6.9e-05,0.0,0.0
147,0.572492,0.714015,4.9e-05,0.0,0.0
148,0.572536,0.713758,2.4e-05,0.0,0.0
149,0.572791,0.713757,2.3e-05,0.0,0.0
150,0.573251,0.713657,4.3e-05,0.0,0.0
151,0.573591,0.713704,3.1e-05,0.0,0.0
152,0.573405,0.713629,1.8e-05,0.0,0.0
153,0.572889,0.713349,5.3e-05,0.0,0.0
154,0.572355,0.713118,5.3e-05,0.0,0.0
155,0.571928,0.712905,4.3e-05,0.0,0.0
156,0.571713,0.712895,1.9e-05,0.0,0.0
157,0.5713,0.71271,4.1e-05,0.0,0.0
158,0.571023,0.712522,3e-05,0.0,0.0
159,0.570981,0.712837,2.9e-05,0.0,0.0
160,0.570914,0.712808,7e-06,0.0,0.0
161,0.570881,0.712972,1.5e-05,0.0,0.0
162,0.570829,0.713023,7e-06,0.0,0.0
163,0.570883,0.713231,2e-05,0.0,0.0
164,0.57084,0.71353,2.7e-05,0.0,0.0
165,0.570863,0.713654,1.1e-05,0.0,0.0
166,0.570755,0.713625,1e-05,0.0,0.0
167,0.570599,0.713371,2.7e-05,0.0,0.0
168,0.570438,0.713136,2.6e-05,0.0,0.0
169,0.570186,0.712962,2.8e-05,0.0,0.0
170,0.569939,0.713011,2.3e-05,0.0,0.0
171,0.569537,0.713018,3.6e-05,0.0,0.0
172,0.569188,0.713218,3.7e-05,0.0,0.0
173,0.568818,0.713111,3.5e-05,0.0,0.0
174,0.568411,0.713209,3.8e-05,0.0,0.0
175,0.568242,0.713378,2.2e-05,0.0,0.0
176,0.568183,0.713683,2.8e-05,0.0,0.0
177,0.568165,0.713937,2.3e-05,0.0,0.0
178,0.567914,0.714248,3.6e-05,0.0,0.0
179,0.567721,0.714447,2.5e-05,0.0,0.0
180,0.567424,0.714394,2.7e-05,0.0,0.0
181,0.567225,0.713931,4.6e-05,0.0,0.0
182,0.567008,0.713555,3.9e-05,0.0,0.0
183,0.566948,0.713042,4.7e-05,0.0,0.0
184,0.566942,0.712427,5.6e-05,0.0,0.0
185,0.566813,0.711869,5.2e-05,0.0,0.0
186,0.566785,0.711519,3.2e-05,0.0,0.0
187,0.56684,0.711245,2.5e-05,0.0,0.0
188,0.566913,0.711039,2e-05,0.0,0.0
189,0.567095,0.710945,1.9e-05,0.0,0.0
190,0.567134,0.711053,1e-05,0.0,0.0
191,0.567319,0.710888,2.2e-05,0.0,0.0
192,0.567414,0.710368,4.8e-05,0.0,0.0
193,0.567652,0.710137,3e-05,0.0,0.0
194,0.568053,0.710193,3.7e-05,0.0,0.0
195,0.568413,0.710045,3.5e-05,0.0,0.0
196,0.568861,0.709277,8.1e-05,0.0,0.0
197,0.569235,0.708138,0.000109,0.0,0.0
198,0.569506,0.707173,9.1e-05,0.0,0.0
199,0.569414,0.706312,7.9e-05,0.0,0.0
200,0.56926,0.705682,5.9e-05,0.0,0.0
201,0.569152,0.705767,1.2e-05,0.0,0.0
202,0.569478,0.706275,5.5e-05,0.0,0.0
203,0.569847,0.706574,4.3e-05,0.0,0.0
204,0.570028,0.706193,3.8e-05,0.0,0.0
205,0.569884,0.705608,5.5e-05,0.0,0.0
206,0.569726,0.704886,6.7e-05,0.0,0.0
207,0.569855,0.704762,1.6e-05,0.0,0.0
208,0.56982,0.704848,9e-06,0.0,0.0
209,0.569879,0.705338,4.5e-05,0.0,0.0
210,0.569773,0.705491,1.7e-05,0.0,0.0
211,0.568431,0.706186,0.000137,0.0,0.0
212,0.559896,0.710472,0.000868,1.0,1.0
213,0.533595,0.723939,0.002686,2.0,2.0
214,0.491935,0.745716,0.004273,2.0,2.0
215,0.443085,0.771037,0.005002,2.0,2.0
216,0.400679,0.793724,0.004372,2.0,2.0
217,0.368327,0.810832,0.003327,2.0,2.0
218,0.345503,0.823161,0.002358,2.0,2.0
219,0.330395,0.831185,0.001555,2.0,2.0
220,0.319821,0.837122,0.001102,2.0,2.0
221,0.312341,0.840351,0.000741,1.0,1.0
222,0.307967,0.842619,0.000448,1.0,1.0
223,0.304309,0.845187,0.000406,1.0,1.0
224,0.294729,0.853118,0.001131,1.0,2.0
225,0.282089,0.863368,0.001479,1.0,2.0
226,0.270352,0.873626,0.001417,1.0,2.0
227,0.26269,0.881221,0.000981,1.0,2.0
228,0.25782,0.886037,0.000623,1.0,1.0
229,0.254922,0.888777,0.000363,1.0,1.0
230,0.253394,0.890551,0.000213,1.0,1.0
231,0.251527,0.892614,0.000253,1.0,1.0
232,0.250542,0.893539,0.000123,0.0,0.0
233,0.249009,0.894315,0.000156,0.0,0.0
234,0.248181,0.895197,0.00011,0.0,0.0
235,0.247422,0.896066,0.000105,0.0,0.0
236,0.247048,0.896915,8.4e-05,0.0,0.0
237,0.247246,0.896513,4.1e-05,0.0,0.0
238,0.246939,0.896386,3e-05,0.0,0.0
239,0.247151,0.895762,6e-05,0.0,0.0
240,0.246737,0.89538,5.1e-05,0.0,0.0
241,0.246834,0.894231,0.000105,0.0,0.0
242,0.246496,0.893521,7.1e-05,0.0,0.0
243,0.24628,0.892528,9.2e-05,0.0,0.0
244,0.246297,0.891419,0.000101,0.0,0.0
245,0.246139,0.890294,0.000103,0.0,0.0
246,0.245865,0.889566,7.1e-05,0.0,0.0
247,0.245544,0.88906,5.4e-05,0.0,0.0
248,0.24555,0.889061,1e-06,0.0,0.0
249,0.245871,0.888973,3e-05,0.0,0.0
250,0.246235,0.889009,3.3e-05,0.0,0.0
251,0.246508,0.888918,2.6e-05,0.0,0.0
252,0.246554,0.888421,4.5e-05,0.0,0.0
253,0.246589,0.887913,4.6e-05,0.0,0.0
254,0.24665,0.88715,7e-05,0.0,0.0
255,0.246803,0.887576,4.1e-05,0.0,0.0
256,0.246614,0.888087,4.9e-05,0.0,0.0
257,0.246544,0.888539,4.2e-05,0.0,0.0
258,0.24669,0.888397,1.9e-05,0.0,0.0
259,0.246925,0.888464,2.2e-05,0.0,0.0
260,0.24711,0.88862,2.2e-05,0.0,0.0
261,0.247237,0.888614,1.2e-05,0.0,0.0
262,0.247292,0.88843,1.7e-05,0.0,0.0
263,0.247394,0.888298,1.5e-05,0.0,0.0
264,0.247327,0.88819,1.2e-05,0.0,0.0
265,0.247507,0.888097,1.8e-05,0.0,0.0
266,0.247552,0.888124,5e-06,0.0,0.0
267,0.247611,0.887967,1.5e-05,0.0,0.0
268,0.247544,0.887693,2.6e-05,0.0,0.0
269,0.247477,0.887436,2.4e-05,0.0,0.0
270,0.247522,0.88752,9e-06,0.0,0.0
271,0.247575,0.887569,7e-06,0.0,0.0
272,0.247708,0.88765,1.4e-05,0.0,0.0
273,0.247837,0.887372,2.8e-05,0.0,0.0
274,0.247875,0.887168,1.9e-05,0.0,0.0
275,0.24786,0.886987,1.7e-05,0.0,0.0
276,0.248114,0.886546,4.6e-05,0.0,0.0
277,0.248405,0.886399,3e-05,0.0,0.0
278,0.248487,0.886478,1e-05,0.0,0.0
279,0.248346,0.886605,1.7e-05,0.0,0.0
280,0.248182,0.886495,1.8e-05,0.0,0.0
281,0.248112,0.886062,4e-05,0.0,0.0
282,0.248009,0.886137,1.3e-05,0.0,0.0
283,0.247845,0.886207,1.6e-05,0.0,0.0
284,0.247762,0.886182,8e-06,0.0,0.0
285,0.247728,0.885907,2.5e-05,0.0,0.0
286,0.247743,0.885409,4.5e-05,0.0,0.0
287,0.247733,0.884846,5.1e-05,0.0,0.0
288,0.247558,0.884355,4.7e-05,0.0,0.0
289,0.247391,0.884221,1.9e-05,0.0,0.0
290,0.247173,0.88388,3.7e-05,0.0,0.0
291,0.247147,0.883404,4.3e-05,0.0,0.0
292,0.247251,0.882969,4.1e-05,0.0,0.0
293,0.247449,0.882751,2.7e-05,0.0,0.0
294,0.247691,0.882738,2.2e-05,0.0,0.0
295,0.247818,0.882668,1.3e-05,0.0,0.0
296,0.247962,0.882431,2.5e-05,0.0,0.0
297,0.248135,0.882088,3.5e-05,0.0,0.0
298,0.248212,0.881907,1.8e-05,0.0,0.0
299,0.248263,0.88171,1.9e-05,0.0,0.0
300,0.248223,0.881195,4.7e-05,0.0,0.0
301,0.248357,0.880179,9.3e-05,0.0,0.0
302,0.248457,0.879291,8.1e-05,0.0,0.0
303,0.248686,0.878529,7.2e-05,0.0,0.0
304,0.248902,0.877604,8.6e-05,0.0,0.0
305,0.249143,0.876459,0.000106,0.0,0.0
306,0.249302,0.87538,9.9e-05,0.0,0.0
307,0.250454,0.874221,0.000149,0.0,0.0
308,0.254601,0.871246,0.000464,1.0,1.0
309,0.261211,0.866892,0.00072,1.0,1.0
310,0.269031,0.861002,0.00089,1.0,2.0
311,0.2766,0.854702,0.000895,1.0,2.0
312,0.283599,0.846591,0.000974,1.0,2.0
313,0.289879,0.839088,0.000889,1.0,2.0
314,0.295641,0.830941,0.000907,1.0,2.0
315,0.300877,0.825034,0.000718,1.0,1.0
316,0.305397,0.820329,0.000593,1.0,1.0
317,0.309759,0.816368,0.000536,1.0,1.0
318,0.313807,0.811466,0.000578,1.0,1.0
319,0.31725,0.806985,0.000514,1.0,1.0
320,0.320277,0.802489,0.000493,1.0,1.0
321,0.322078,0.798562,0.000393,1.0,1.0
