,x,y,Velocity,manually results,Classification results
0,0.316408,0.186061,0.005004,2.0,2.0
1,0.362145,0.191214,0.004184,2.0,2.0
2,0.396224,0.195522,0.003123,2.0,2.0
3,0.419998,0.198813,0.002182,2.0,2.0
4,0.433981,0.205124,0.001395,2.0,2.0
5,0.444392,0.208788,0.001003,2.0,2.0
6,0.45177,0.211198,0.000706,1.0,1.0
7,0.457503,0.211847,0.000524,1.0,1.0
8,0.461994,0.210523,0.000426,1.0,1.0
9,0.464807,0.209161,0.000284,1.0,1.0
10,0.467057,0.206841,0.000294,1.0,1.0
11,0.468245,0.205768,0.000145,1.0,1.0
12,0.470084,0.205886,0.000167,1.0,1.0
13,0.47173,0.206528,0.000161,1.0,1.0
14,0.472973,0.206479,0.000113,1.0,1.0
15,0.473279,0.206233,3.6e-05,1.0,0.0
16,0.473032,0.20636,2.5e-05,1.0,0.0
17,0.47221,0.207811,0.000152,1.0,1.0
18,0.471349,0.208815,0.00012,1.0,1.0
19,0.47479,0.209284,0.000316,1.0,1.0
20,0.481263,0.209309,0.000588,1.0,1.0
21,0.488402,0.20971,0.00065,1.0,1.0
22,0.493558,0.209208,0.000471,1.0,1.0
23,0.498118,0.208316,0.000422,1.0,1.0
24,0.501377,0.206249,0.000351,1.0,1.0
25,0.505206,0.202513,0.000486,1.0,1.0
26,0.508193,0.199683,0.000374,1.0,1.0
27,0.51058,0.198038,0.000264,1.0,1.0
28,0.512215,0.199214,0.000183,1.0,1.0
29,0.513545,0.200313,0.000157,1.0,1.0
30,0.514897,0.202082,0.000202,1.0,1.0
31,0.514907,0.20344,0.000123,1.0,1.0
32,0.515121,0.204431,9.2e-05,1.0,1.0
33,0.515289,0.205146,6.7e-05,1.0,1.0
34,0.516175,0.206602,0.000155,1.0,1.0
35,0.516727,0.20828,0.000161,1.0,1.0
36,0.517242,0.209468,0.000118,1.0,1.0
37,0.517234,0.210256,7.2e-05,0.0,0.0
38,0.517397,0.209974,3e-05,0.0,0.0
39,0.517272,0.20978,2.1e-05,0.0,0.0
40,0.516515,0.209103,9.2e-05,0.0,1.0
41,0.513858,0.209011,0.000242,1.0,1.0
42,0.51146,0.209628,0.000225,1.0,1.0
43,0.50866,0.211185,0.000291,1.0,1.0
44,0.506439,0.21265,0.000242,1.0,1.0
45,0.504237,0.213452,0.000213,1.0,1.0
46,0.502418,0.213342,0.000166,1.0,1.0
47,0.500894,0.21325,0.000139,1.0,1.0
48,0.499431,0.213197,0.000133,1.0,1.0
49,0.497928,0.213435,0.000138,1.0,1.0
50,0.496257,0.214025,0.000161,1.0,1.0
51,0.494802,0.214793,0.00015,1.0,1.0
52,0.49327,0.216279,0.000194,1.0,1.0
53,0.491875,0.217755,0.000185,1.0,1.0
54,0.49054,0.218595,0.000143,1.0,1.0
55,0.489195,0.218909,0.000126,1.0,1.0
56,0.487447,0.220691,0.000227,1.0,1.0
57,0.485758,0.222632,0.000234,1.0,1.0
58,0.484459,0.224928,0.00024,1.0,1.0
59,0.484048,0.224931,3.7e-05,0.0,0.0
60,0.484045,0.225183,2.3e-05,0.0,0.0
61,0.483957,0.224923,2.5e-05,0.0,0.0
62,0.483159,0.227126,0.000213,1.0,1.0
63,0.482279,0.229386,0.00022,1.0,1.0
64,0.48116,0.232399,0.000292,1.0,1.0
65,0.480897,0.233482,0.000101,1.0,1.0
66,0.480641,0.234035,5.5e-05,0.0,0.0
67,0.480667,0.234623,5.3e-05,0.0,0.0
68,0.480706,0.234571,6e-06,0.0,0.0
69,0.480814,0.235102,4.9e-05,0.0,0.0
70,0.480884,0.235455,3.3e-05,0.0,0.0
71,0.480784,0.236297,7.7e-05,0.0,0.0
72,0.480575,0.236486,2.6e-05,0.0,0.0
73,0.480665,0.236188,2.8e-05,0.0,0.0
74,0.480801,0.235764,4e-05,0.0,0.0
75,0.480936,0.235497,2.7e-05,0.0,0.0
76,0.480757,0.236136,6e-05,0.0,0.0
