,x,y,Velocity,Manually results,Classification results
0,0.003054,0.011845,1.9e-05,0.0,0.0
1,0.003286,0.012202,3.9e-05,0.0,0.0
2,0.003451,0.012861,6.2e-05,0.0,0.0
3,0.003673,0.013412,5.4e-05,0.0,0.0
4,0.003825,0.014308,8.3e-05,0.0,0.0
5,0.004397,0.01502,8.3e-05,0.0,0.0
6,0.004912,0.015778,8.3e-05,0.0,0.0
7,0.005876,0.016102,9.3e-05,0.0,0.0
8,0.009182,0.01547,0.000306,1.0,1.0
9,0.012801,0.012599,0.00042,1.0,1.0
10,-0.004905,-0.035302,0.004643,2.0,2.0
11,0.007442,-0.034361,0.001126,2.0,2.0
12,0.018943,-0.031286,0.001082,2.0,2.0
13,0.029593,-0.027088,0.001041,2.0,2.0
14,0.038351,-0.022978,0.000879,1.0,1.0
15,0.045233,-0.018192,0.000762,1.0,1.0
16,0.050177,-0.013643,0.000611,1.0,1.0
17,0.05456,-0.009032,0.000578,1.0,1.0
18,0.058167,-0.005308,0.000471,1.0,1.0
19,0.061071,-0.002304,0.00038,1.0,1.0
20,0.063189,0.00041,0.000313,1.0,1.0
21,0.064992,0.003443,0.000321,1.0,1.0
22,0.066531,0.005812,0.000257,1.0,1.0
23,0.067627,0.008639,0.000276,1.0,1.0
24,0.06886,0.011784,0.000307,1.0,1.0
25,0.069629,0.015233,0.000321,1.0,1.0
26,0.070496,0.017798,0.000246,1.0,1.0
27,0.071511,0.019647,0.000192,0.0,0.0
28,0.072304,0.021531,0.000186,0.0,0.0
29,0.073065,0.023059,0.000155,0.0,0.0
30,0.07304,0.025222,0.000197,0.0,0.0
31,0.070276,0.034255,0.000859,1.0,1.0
32,0.064108,0.051008,0.001623,2.0,2.0
33,0.055887,0.073557,0.002182,2.0,2.0
34,0.047625,0.097588,0.00231,2.0,2.0
35,0.040822,0.118565,0.002005,2.0,2.0
36,0.035388,0.135169,0.001588,2.0,2.0
37,0.031171,0.14679,0.001124,2.0,2.0
38,0.028019,0.156223,0.000904,2.0,1.0
39,0.026082,0.163088,0.000649,1.0,1.0
40,0.024455,0.168352,0.000501,1.0,1.0
41,0.022956,0.172103,0.000367,1.0,1.0
42,0.022413,0.175494,0.000312,1.0,1.0
43,0.021911,0.178333,0.000262,0.0,1.0
44,0.021821,0.180343,0.000183,0.0,0.0
45,0.021218,0.182886,0.000238,0.0,0.0
46,0.021011,0.183681,7.5e-05,0.0,0.0
