,x,y,Velocity,Manually results,Classification results
0,0.176266,0.154672,0.000144,0.0,0.0
1,0.17597,0.15492,3.5e-05,0.0,0.0
2,0.175891,0.155615,6.4e-05,0.0,0.0
3,0.176038,0.155173,4.2e-05,0.0,0.0
4,0.176156,0.154728,4.2e-05,0.0,0.0
5,0.175795,0.153637,0.000105,0.0,0.0
6,0.175445,0.152664,9.4e-05,0.0,0.0
7,0.179091,0.15361,0.000342,1.0,1.0
8,0.186699,0.156369,0.000736,2.0,1.0
9,0.206791,0.165694,0.002014,2.0,2.0
10,0.267493,0.194439,0.006106,2.0,2.0
11,0.337383,0.227759,0.007039,2.0,2.0
12,0.406587,0.258854,0.006897,2.0,2.0
13,0.457633,0.281562,0.005079,2.0,2.0
14,0.493247,0.298501,0.003585,2.0,2.0
15,0.516194,0.31116,0.002382,2.0,2.0
16,0.531186,0.32074,0.001617,2.0,2.0
17,0.540726,0.327196,0.001047,2.0,1.0
18,0.548507,0.327912,0.00071,1.0,1.0
19,0.553989,0.328607,0.000502,1.0,1.0
20,0.557739,0.328842,0.000342,1.0,1.0
21,0.559055,0.33163,0.00028,1.0,1.0
22,0.560391,0.333108,0.000181,1.0,1.0
23,0.561089,0.334283,0.000124,1.0,1.0
24,0.563372,0.333561,0.000218,1.0,1.0
25,0.564432,0.332531,0.000134,1.0,0.0
26,0.565553,0.331866,0.000119,0.0,0.0
27,0.565261,0.331002,8.3e-05,0.0,0.0
28,0.565134,0.332055,9.6e-05,0.0,0.0
29,0.564847,0.332638,5.9e-05,0.0,0.0
30,0.563631,0.327238,0.000503,1.0,1.0
31,0.562223,0.311151,0.001468,2.0,1.0
32,0.560982,0.297069,0.001285,2.0,1.0
33,0.560977,0.284381,0.001153,2.0,1.0
34,0.560455,0.274129,0.000933,2.0,1.0
35,0.560125,0.265248,0.000808,2.0,1.0
36,0.559582,0.258126,0.000649,1.0,1.0
37,0.559319,0.252257,0.000534,1.0,1.0
38,0.558884,0.247518,0.000433,1.0,1.0
39,0.558613,0.243352,0.00038,1.0,1.0
40,0.558553,0.23998,0.000307,1.0,1.0
41,0.558875,0.237036,0.000269,1.0,1.0
42,0.559009,0.234869,0.000197,1.0,1.0
43,0.558908,0.233662,0.00011,0.0,0.0
44,0.558946,0.23315,4.7e-05,0.0,0.0
45,0.559063,0.23265,4.7e-05,0.0,0.0
46,0.559447,0.231971,7.1e-05,0.0,0.0
47,0.559232,0.230818,0.000107,0.0,0.0
48,0.559034,0.230028,7.4e-05,0.0,0.0
49,0.559109,0.228478,0.000141,0.0,0.0
50,0.5598,0.227525,0.000107,0.0,0.0
51,0.560469,0.226724,9.5e-05,0.0,0.0
52,0.561009,0.225703,0.000105,0.0,0.0
53,0.561286,0.224846,8.2e-05,0.0,0.0
54,0.561701,0.22284,0.000186,0.0,0.0
55,0.562257,0.221468,0.000135,0.0,0.0
56,0.562465,0.219616,0.000169,0.0,0.0
57,0.562704,0.218114,0.000138,0.0,0.0
58,0.562569,0.217577,5e-05,0.0,0.0
59,0.562636,0.217106,4.3e-05,0.0,0.0
60,0.562665,0.217776,6.1e-05,0.0,0.0
61,0.562431,0.218133,3.9e-05,0.0,0.0
62,0.562346,0.218922,7.2e-05,0.0,0.0
63,0.562143,0.218717,2.6e-05,0.0,0.0
64,0.56256,0.21857,4e-05,0.0,0.0
65,0.562788,0.21834,2.9e-05,0.0,0.0
66,0.562887,0.218614,2.6e-05,0.0,0.0
67,0.56308,0.218647,1.8e-05,0.0,0.0
68,0.563312,0.218577,2.2e-05,0.0,0.0
69,0.563665,0.218573,3.2e-05,0.0,0.0
70,0.563495,0.218196,3.8e-05,0.0,0.0
71,0.563644,0.218475,2.9e-05,0.0,0.0
72,0.563716,0.218119,3.3e-05,0.0,0.0
73,0.563819,0.218621,4.7e-05,0.0,0.0
74,0.563552,0.21848,2.8e-05,0.0,0.0
75,0.563175,0.218468,3.4e-05,0.0,0.0
76,0.562902,0.218597,2.7e-05,0.0,0.0
77,0.562829,0.218903,2.9e-05,0.0,0.0
78,0.562468,0.219469,6.1e-05,0.0,0.0
79,0.562003,0.219886,5.7e-05,0.0,0.0
80,0.56143,0.220248,6.2e-05,0.0,0.0
81,0.560781,0.221011,9.1e-05,0.0,0.0
82,0.559163,0.221299,0.000149,0.0,0.0
83,0.557644,0.221551,0.00014,0.0,0.0
84,0.556155,0.221869,0.000138,0.0,0.0
