,0,1,2
0,0.499937,0.206779,2.6e-05
1,0.500083,0.205722,9.7e-05
2,0.50042,0.204932,7.8e-05
3,0.500815,0.204278,6.9e-05
4,0.500995,0.204352,1.8e-05
5,0.501252,0.204545,2.9e-05
6,0.501279,0.204387,1.5e-05
7,0.501199,0.20439,7e-06
8,0.50122,0.203985,3.7e-05
9,0.501145,0.203986,7e-06
10,0.501009,0.204596,5.7e-05
11,0.500573,0.205323,7.7e-05
12,0.500426,0.206335,9.3e-05
13,0.50072,0.20668,4.1e-05
14,0.50087,0.206864,2.2e-05
15,0.50084,0.2065,3.3e-05
16,0.500893,0.206635,1.3e-05
17,0.501074,0.206913,3e-05
18,0.501465,0.207208,4.5e-05
19,0.501539,0.207285,1e-05
20,0.501716,0.207339,1.7e-05
21,0.501849,0.207627,2.9e-05
22,0.501899,0.207918,2.7e-05
23,0.501863,0.208157,2.2e-05
24,0.501934,0.208157,6e-06
25,0.502128,0.207824,3.5e-05
26,0.502368,0.207247,5.7e-05
27,0.502395,0.206548,6.4e-05
28,0.502444,0.206004,5e-05
29,0.502364,0.20548,4.8e-05
30,0.502155,0.205134,3.7e-05
31,0.502022,0.204881,2.6e-05
32,0.501861,0.204923,1.5e-05
33,0.501818,0.205017,9e-06
34,0.501491,0.204865,3.3e-05
35,0.501367,0.204878,1.1e-05
36,0.50123,0.20533,4.3e-05
37,0.500846,0.205664,4.6e-05
38,0.50043,0.205982,4.8e-05
39,0.50019,0.205749,3e-05
40,0.500256,0.205957,2e-05
41,0.500337,0.206097,1.5e-05
42,0.500506,0.206524,4.2e-05
43,0.500541,0.207249,6.6e-05
44,0.500532,0.207749,4.5e-05
45,0.500404,0.208065,3.1e-05
46,0.500154,0.207978,2.4e-05
47,0.500031,0.20808,1.5e-05
48,0.49994,0.207634,4.1e-05
49,0.500068,0.206926,6.5e-05
50,0.500085,0.206419,4.6e-05
51,0.500012,0.206348,9e-06
52,0.499868,0.206013,3.3e-05
53,0.499745,0.205648,3.5e-05
54,0.499696,0.205107,4.9e-05
55,0.500115,0.204453,7.1e-05
56,0.500501,0.203596,8.5e-05
57,0.500779,0.202931,6.6e-05
58,0.50099,0.202385,5.3e-05
59,0.501159,0.202058,3.3e-05
60,0.50127,0.20134,6.6e-05
61,0.501074,0.200415,8.6e-05
62,0.501004,0.199323,9.9e-05
63,0.501153,0.198801,4.9e-05
64,0.501418,0.198734,2.5e-05
65,0.501471,0.198266,4.3e-05
66,0.501483,0.197076,0.000108
67,0.501731,0.196152,8.7e-05
68,0.501944,0.195577,5.6e-05
69,0.501955,0.195322,2.3e-05
70,0.501837,0.194826,4.6e-05
71,0.501798,0.194482,3.2e-05
72,0.502314,0.193817,7.6e-05
73,0.503263,0.192565,0.000143
74,0.50463,0.190944,0.000193
75,0.506044,0.189388,0.000191
76,0.507468,0.188309,0.000162
77,0.508707,0.187651,0.000128
78,0.509694,0.18696,0.00011
79,0.510593,0.1861,0.000113
80,0.511006,0.18526,8.5e-05
81,0.511098,0.18522,9e-06
82,0.511017,0.185331,1.2e-05
83,0.511062,0.185392,7e-06
84,0.511073,0.185165,2.1e-05
85,0.510969,0.184979,1.9e-05
86,0.510947,0.184794,1.7e-05
87,0.510759,0.185567,7.2e-05
88,0.510343,0.186232,7.1e-05
89,0.509965,0.186689,5.4e-05
90,0.509676,0.186535,3e-05
91,0.509694,0.186449,8e-06
92,0.509895,0.186804,3.7e-05
93,0.510309,0.187126,4.8e-05
94,0.510603,0.187625,5.3e-05
95,0.51066,0.18769,8e-06
96,0.510537,0.187701,1.1e-05
97,0.510633,0.187863,1.7e-05
98,0.510779,0.188099,2.5e-05
99,0.511301,0.188006,4.8e-05
100,0.511793,0.1876,5.8e-05
101,0.512128,0.187351,3.8e-05
102,0.512135,0.187613,2.4e-05
103,0.512106,0.187886,2.5e-05
104,0.512166,0.188353,4.3e-05
105,0.512186,0.188698,3.1e-05
106,0.512221,0.189096,3.6e-05
107,0.512356,0.189382,2.9e-05
108,0.512381,0.190319,8.5e-05
109,0.512303,0.190994,6.2e-05
110,0.512113,0.191527,5.1e-05
111,0.512015,0.191658,1.5e-05
112,0.511935,0.191947,2.7e-05
113,0.511857,0.19209,1.5e-05
114,0.511873,0.191867,2e-05
115,0.512082,0.191372,4.9e-05
116,0.512289,0.190728,6.1e-05
117,0.512529,0.190382,3.8e-05
118,0.512099,0.191055,7.3e-05
119,0.51066,0.19314,0.00023
120,0.501405,0.202411,0.001191
121,0.458055,0.244045,0.005464
122,0.408444,0.292165,0.006283
123,0.362728,0.338258,0.005902
124,0.330587,0.375653,0.004483
125,0.308225,0.400497,0.003039
126,0.293072,0.415084,0.001912
127,0.283882,0.424024,0.001166
128,0.277243,0.431222,0.00089
129,0.27402,0.43712,0.000611
