,x,y,Velocity,Classification results
142,0.258324,0.45235,0.000647,2.0
143,0.254612,0.45766,0.000589,2.0
144,0.251995,0.462435,0.000495,2.0
145,0.250351,0.466881,0.000431,2.0
146,0.249036,0.471592,0.000445,2.0
147,0.247961,0.475236,0.000345,2.0
148,0.246265,0.478096,0.000302,2.0
149,0.244604,0.479465,0.000196,2.0
150,0.243623,0.480535,0.000132,2.0
151,0.242852,0.480981,8.1e-05,2.0
152,0.242339,0.480801,4.9e-05,2.0
153,0.243788,0.48032,0.000139,2.0
154,0.24717,0.479993,0.000309,2.0
155,0.250191,0.479729,0.000276,2.0
156,0.252497,0.47887,0.000224,2.0
157,0.254473,0.47893,0.00018,2.0
158,0.256108,0.479081,0.000149,2.0
159,0.257575,0.479387,0.000136,2.0
160,0.258792,0.478764,0.000124,2.0
161,0.259887,0.478205,0.000112,2.0
162,0.260616,0.477912,7.1e-05,2.0
163,0.261372,0.478344,7.9e-05,2.0
164,0.262083,0.478593,6.8e-05,2.0
165,0.262776,0.478251,7e-05,2.0
166,0.262939,0.477509,6.9e-05,2.0
167,0.263027,0.476799,6.5e-05,2.0
168,0.263051,0.476547,2.3e-05,2.0
169,0.263453,0.476116,5.4e-05,2.0
170,0.263771,0.475949,3.3e-05,2.0
171,0.264118,0.475791,3.5e-05,2.0
172,0.264287,0.475864,1.7e-05,2.0
173,0.264518,0.476048,2.7e-05,2.0
174,0.264672,0.475904,1.9e-05,2.0
175,0.264946,0.475952,2.5e-05,2.0
176,0.265104,0.475747,2.4e-05,2.0
177,0.265244,0.476285,5e-05,2.0
178,0.26514,0.476548,2.6e-05,2.0
179,0.265083,0.476751,1.9e-05,2.0
180,0.264785,0.476849,2.9e-05,2.0
181,0.264815,0.476683,1.5e-05,2.0
182,0.264913,0.476751,1.1e-05,2.0
183,0.265578,0.476548,6.3e-05,2.0
184,0.265931,0.477433,8.7e-05,2.0
185,0.266478,0.478233,8.8e-05,2.0
186,0.266608,0.479673,0.000131,2.0
187,0.266571,0.480602,8.4e-05,2.0
188,0.266351,0.481251,6.2e-05,2.0
189,0.265906,0.481095,4.3e-05,2.0
190,0.265564,0.480944,3.4e-05,2.0
191,0.265382,0.480866,1.8e-05,2.0
192,0.265209,0.479687,0.000119,2.0
193,0.2653,0.478573,0.000102,2.0
194,0.265555,0.477666,8.6e-05,2.0
195,0.265808,0.477285,4.2e-05,2.0
196,0.265859,0.476792,4.5e-05,2.0
197,0.265467,0.47614,6.9e-05,2.0
198,0.265243,0.476542,4.2e-05,2.0
199,0.265076,0.477326,7.3e-05,2.0
200,0.265416,0.478404,0.000103,2.0
201,0.265537,0.478825,4e-05,2.0
202,0.265639,0.479273,4.2e-05,2.0
203,0.265486,0.479622,3.5e-05,2.0
204,0.265407,0.479242,3.5e-05,2.0
205,0.26552,0.479052,2e-05,2.0
206,0.265843,0.479009,3e-05,2.0
207,0.268795,0.481613,0.000358,2.0
208,0.294007,0.500034,0.002839,2.0
209,0.327472,0.52524,0.003809,2.0
210,0.370145,0.562853,0.005171,2.0
211,0.405757,0.603104,0.004886,2.0
212,0.432777,0.635296,0.003821,2.0
213,0.45224,0.655985,0.002582,2.0
214,0.466271,0.671545,0.001905,2.0
215,0.475859,0.682059,0.001294,2.0
216,0.482715,0.691983,0.001096,2.0
217,0.487832,0.698984,0.000788,0.0
218,0.491538,0.703871,0.000558,0.0
219,0.492131,0.705815,0.000185,0.0
220,0.491774,0.707959,0.000198,0.0
221,0.491345,0.709788,0.000171,0.0
222,0.491917,0.711993,0.000207,0.0
223,0.491684,0.713802,0.000166,0.0
224,0.49122,0.714079,4.9e-05,0.0
225,0.491789,0.713199,9.5e-05,0.0
226,0.495223,0.720377,0.000723,0.0
227,0.498196,0.728578,0.000793,0.0
228,0.500752,0.737164,0.000814,0.0
229,0.501873,0.743923,0.000623,0.0
230,0.50354,0.748782,0.000467,0.0
231,0.503965,0.754576,0.000528,0.0
232,0.504229,0.759295,0.00043,0.0
233,0.504111,0.76322,0.000357,0.0
234,0.504113,0.762604,5.6e-05,0.0
235,0.504057,0.761764,7.7e-05,0.0
236,0.504145,0.760734,9.4e-05,0.0
237,0.504669,0.759258,0.000142,0.0
238,0.505706,0.757876,0.000157,0.0
239,0.506294,0.756876,0.000106,0.0
240,0.506521,0.757559,6.5e-05,0.0
241,0.505947,0.759252,0.000163,0.0
242,0.505282,0.760609,0.000137,0.0
243,0.504545,0.761922,0.000137,0.0
244,0.504468,0.762891,8.8e-05,0.0
245,0.504516,0.763754,7.9e-05,0.0
246,0.504872,0.763765,3.2e-05,0.0
247,0.507239,0.76355,0.000216,0.0
248,0.509388,0.763591,0.000195,0.0
249,0.511372,0.762496,0.000206,0.0
250,0.512368,0.7615,0.000128,0.0
251,0.513594,0.760783,0.000129,0.0
252,0.514737,0.760938,0.000105,0.0
253,0.516007,0.760943,0.000115,0.0
254,0.517217,0.761638,0.000127,0.0
255,0.518292,0.763051,0.000161,0.0
256,0.519073,0.763659,9e-05,0.0
257,0.519525,0.763323,5.1e-05,0.0
258,0.51932,0.761374,0.000178,0.0
259,0.519325,0.759849,0.000139,0.0
260,0.519303,0.758769,9.8e-05,0.0
261,0.520281,0.759841,0.000132,0.0
262,0.521007,0.761714,0.000183,0.0
263,0.521729,0.762974,0.000132,0.0
264,0.522073,0.761963,9.7e-05,0.0
265,0.522244,0.760916,9.7e-05,0.0
266,0.522386,0.760325,5.5e-05,0.0
267,0.522446,0.760185,1.4e-05,0.0
268,0.522906,0.760056,4.3e-05,0.0
269,0.523242,0.759763,4.1e-05,0.0
270,0.52328,0.760092,3e-05,0.0
271,0.522925,0.76018,3.3e-05,0.0
272,0.522714,0.76076,5.6e-05,0.0
273,0.522815,0.760624,1.5e-05,0.0
274,0.523019,0.760843,2.7e-05,0.0
275,0.523193,0.760388,4.4e-05,0.0
276,0.522905,0.760107,3.7e-05,0.0
277,0.522742,0.759354,7e-05,0.0
278,0.522702,0.758672,6.2e-05,0.0
279,0.52288,0.758237,4.3e-05,0.0
280,0.523251,0.757783,5.3e-05,0.0
281,0.523488,0.757741,2.2e-05,0.0
282,0.524138,0.757369,6.8e-05,0.0
283,0.524426,0.757383,2.6e-05,0.0
284,0.524783,0.757023,4.6e-05,0.0
285,0.525087,0.756734,3.8e-05,0.0
286,0.525405,0.756505,3.6e-05,0.0
287,0.525667,0.756044,4.8e-05,0.0
288,0.525691,0.755356,6.3e-05,0.0
289,0.52548,0.755141,2.7e-05,0.0
