,0,1,2
0,0.487832,0.698984,0.000788
1,0.491538,0.703871,0.000558
2,0.492131,0.705815,0.000185
3,0.491774,0.707959,0.000198
4,0.491345,0.709788,0.000171
5,0.491917,0.711993,0.000207
6,0.491684,0.713802,0.000166
7,0.49122,0.714079,4.9e-05
8,0.491789,0.713199,9.5e-05
9,0.495223,0.720377,0.000723
10,0.498196,0.728578,0.000793
11,0.500752,0.737164,0.000814
12,0.501873,0.743923,0.000623
13,0.50354,0.748782,0.000467
14,0.503965,0.754576,0.000528
15,0.504229,0.759295,0.00043
16,0.504111,0.76322,0.000357
17,0.504113,0.762604,5.6e-05
18,0.504057,0.761764,7.7e-05
19,0.504145,0.760734,9.4e-05
20,0.504669,0.759258,0.000142
21,0.505706,0.757876,0.000157
22,0.506294,0.756876,0.000106
23,0.506521,0.757559,6.5e-05
24,0.505947,0.759252,0.000163
25,0.505282,0.760609,0.000137
26,0.504545,0.761922,0.000137
27,0.504468,0.762891,8.8e-05
28,0.504516,0.763754,7.9e-05
29,0.504872,0.763765,3.2e-05
30,0.507239,0.76355,0.000216
31,0.509388,0.763591,0.000195
32,0.511372,0.762496,0.000206
33,0.512368,0.7615,0.000128
34,0.513594,0.760783,0.000129
35,0.514737,0.760938,0.000105
36,0.516007,0.760943,0.000115
37,0.517217,0.761638,0.000127
38,0.518292,0.763051,0.000161
39,0.519073,0.763659,9e-05
40,0.519525,0.763323,5.1e-05
41,0.51932,0.761374,0.000178
42,0.519325,0.759849,0.000139
43,0.519303,0.758769,9.8e-05
44,0.520281,0.759841,0.000132
45,0.521007,0.761714,0.000183
46,0.521729,0.762974,0.000132
47,0.522073,0.761963,9.7e-05
48,0.522244,0.760916,9.7e-05
49,0.522386,0.760325,5.5e-05
50,0.522446,0.760185,1.4e-05
51,0.522906,0.760056,4.3e-05
52,0.523242,0.759763,4.1e-05
53,0.52328,0.760092,3e-05
54,0.522925,0.76018,3.3e-05
55,0.522714,0.76076,5.6e-05
56,0.522815,0.760624,1.5e-05
57,0.523019,0.760843,2.7e-05
58,0.523193,0.760388,4.4e-05
59,0.522905,0.760107,3.7e-05
60,0.522742,0.759354,7e-05
